1728832     1
2272    0
1112    1
440     0
380     1
1068    0
1120    1
440     0
380     1
1068    0
444     1
1076    0
432     1
1056    0
1112    1
440     0
380     1
1068    0
436     1
1084    0
432     1
1056    0
432     1
1080    0
1120    1
432     0
384     1
1064    0
1128    1
440     0
1056    1
432     0
388     1
1060    0
436     1
1060    0
1112    1
440     0
380     1
1068    0
1120    1
440     0
1072    1
432     0
1056    1
440     0
380     1
1068    0
436     1
1076    0
432     1
2176    0
1120    1
432     0
384     1
1064    0
1120    1
432     0
384     1
1064    0
436     1
1084    0
440     1
1056    0
1112    1
432     0
388     1
1060    0
436     1
1172    0
440     1
952     0
392     1
1168    0
1112    1
440     0
380     1
1068    0
1120    1
440     0
1072    1
432     0
384     1
1064    0
436     1
1076    0
1112    1
432     0
384     1
1064    0
1120    1
432     0
1080    1
432     0
1056    1
432     0
388     1
1060    0
436     1
1084    0
440     1
2192    0
1112    1
432     0
388     1
1068    0
1120    1
432     0
388     1
1060    0
436     1
1060    0
440     1
1072    0
1112    1
432     0
384     1
1064    0
436     1
1060    0
432     1
1080    0
432     1
1056    0
1112    1
432     0
384     1
1176    0
1112    1
432     0
1056    1
432     0
384     1
1064    0
444     1
1076    0
1112    1
432     0
388     1
1068    0
1120    1
432     0
1080    1
440     0
1056    1
432     0
388     1
1060    0
436     1
1084    0
432     1
2200    0
1112    1
432     0
388     1
1060    0
1120    1
432     0
384     1
1064    0
444     1
1060    0
432     1
1080    0
1112    1
432     0
384     1
1064    0
444     1
1076    0
432     1
1080    0
440     1
1056    0
1112    1
432     0
388     1
1060    0
1120    1
432     0
1080    1
440     0
380     1
1068    0
444     1
1068    0
1112    1
432     0
384     1
1064    0
1128    1
432     0
1056    1
432     0
1080    1
432     0
384     1
1064    0
444     1
1076    0
2920    1
7056    0
1000    1
548     0
508     1
968     0
1072    1
432     0
496     1
1064    0
432     1
1056    0
548     1
964     0
944     1
608     0
388     1
1068    0
548     1
964     0
496     1
1064    0
432     1
1056    0
1000    1
432     0
504     1
1056    0
1000    1
548     0
964     1
508     0
500     1
976     0
508     1
964     0
1064    1
548     0
392     1
1060    0
1000    1
548     0
964     1
496     0
1056    1
432     0
496     1
1064    0
432     1
1056    0
3024    1
7056    0
1000    1
432     0
504     1
1056    0
1000    1
548     0
508     1
944     0
496     1
1064    0
440     1
1072    0
1000    1
432     0
496     1
1072    0
432     1
1056    0
432     1
1056    0
548     1
964     0
1056    1
432     0
496     1
1064    0
1000    1
432     0
1080    1
432     0
496     1
1064    0
440     1
1072    0
1008    1
548     0
388     1
1064    0
1000    1
548     0
964     1
508     0
964     1
496     0
504     1
1064    0
432     1
1056    0
3016    1
7064    0
1000    1
552     0
388     1
1060    0
1000    1
548     0
500     1
952     0
496     1
1064    0
440     1
1072    0
896     1
608     0
396     1
1068    0
548     1
964     0
508     1
964     0
496     1
1064    0
1000    1
440     0
496     1
1056    0
1000    1
552     0
960     1
496     0
504     1
1064    0
432     1
1056    0
1000    1
432     0
496     1
1064    0
1000    1
548     0
964     1
496     0
944     1
608     0
388     1
1060    0
548     1
964     0
2976    1
7064    0
1000    1
552     0
496     1
952     0
1056    1
548     0
384     1
1060    0
548     1
964     0
496     1
1056    0
1000    1
432     0
504     1
1056    0
432     1
1080    0
436     1
1076    0
432     1
1080    0
1008    1
440     0
496     1
1064    0
1008    1
440     0
1056    1
548     0
392     1
1060    0
548     1
964     0
960     1
496     0
504     1
1064    0
1000    1
440     0
1072    1
548     0
964     1
496     0
504     1
952     0
496     1
293160  0
